id,labels,properties
326,['Tag'],{'name': 'Centre for Ayurveda Biology and Holistic Nutrition'}
327,['Tag'],{'name': 'Ayurveda and Biology'}
328,['Tag'],{'name': 'syllabus ayurveda biology'}
329,['Tag'],{'name': 'ayurveda syllabus'}
330,['Tag'],{'name': 'net syllabus ayurveda'}
331,['Tag'],{'name': 'ayurveda biology discipline'}
332,['Tag'],{'name': 'biology ayurveda students'}
333,['Tag'],{'name': 'ayurveda syllabus covers'}
334,['Tag'],{'name': 'principles ayurveda syllabus'}
335,['Tag'],{'name': 'ayurveda biology knowledge'}
336,['Tag'],{'name': 'gemini verbally abused'}
337,['Tag'],{'name': 'syllabus ayurveda'}
338,['Tag'],{'name': 'ayurveda biology seeks'}
339,['Article'],"{'category': 'sports', 'createdAt': '2024-11-15T12:54:53.594Z', 'url': 'https://www.thehindu.com/news/national/uttarakhand/6-students-killed-1-injured-as-car-crashes-into-truck-in-dehradun/article68870973.ece?cx_testId=81&cx_testVariant=cx_1&cx_artPos=5&cx_experienceId=EXPO56ZDYSGX&cx_experienceActionId=showRecommendations7EV8PP8TM51R64#cxrecs_s'}"
340,['Category'],{'name': 'sports'}
341,['Tag'],{'name': 'Pushkar Singh Dhami'}
342,['Tag'],{'name': 'Kunal Kukreja'}
343,['Tag'],{'name': 'Atul Agrawal'}
344,['Tag'],{'name': 'Rishabh Jain'}
345,['Tag'],{'name': 'Navya Goel'}
346,['Tag'],{'name': 'Kamakshi'}
347,['Tag'],{'name': 'Guneet'}
348,['Tag'],{'name': 'Kukreja'}
349,['Tag'],{'name': 'Siddhesh Agrawal'}
350,['Tag'],{'name': 'Semwal'}
351,['Tag'],{'name': 'Dehradun'}
352,['Tag'],{'name': 'the ONGC Chowk'}
353,['Tag'],{'name': 'Uttarkashi'}
354,['Tag'],{'name': 'Rudraprayag'}
355,['Tag'],{'name': 'Uttarakhand'}
356,['Tag'],{'name': 'Himachal Pradesh'}
357,['Tag'],{'name': 'the Synergy Hospital'}
358,['Tag'],{'name': 'CCTV'}
359,['Tag'],{'name': 'dehradun car accident'}
360,['Tag'],{'name': 'road accident dehradun'}
361,['Tag'],{'name': 'accident dehradun extremely'}
362,['Tag'],{'name': 'accident dehradun'}
363,['Tag'],{'name': 'truck students killed'}
364,['Tag'],{'name': 'accident students killed'}
365,['Tag'],{'name': 'die said gemini'}
366,['Tag'],{'name': 'car accident students'}
367,['Tag'],{'name': 'students killed injured'}
368,['Tag'],{'name': 'crashes truck students'}
369,['Tag'],{'name': 'accident students'}
370,['Article'],"{'category': 'news and politics', 'createdAt': '2024-11-15T12:54:57.809Z', 'url': 'https://www.thehindu.com/news/international/oli-playing-the-china-card-by-going-to-beijing-nepal-should-balance-ties-prachanda/article68866423.ece?cx_testId=81&cx_testVariant=cx_1&cx_artPos=1&cx_experienceId=EXPO56ZDYSGX&cx_experienceActionId=showRecommendations7EV8PP8TM51R64#cxrecs_s'}"
371,['Tag'],{'name': 'K.P. Sharma Oli'}
372,['Tag'],{'name': 'Nepal'}
373,['Tag'],{'name': 'Slamming Nepal'}
374,['Tag'],{'name': 'Pushpa Kamal Dahal'}
375,['Tag'],{'name': 'Dahal'}
376,['Tag'],{'name': 'Oli’s'}
377,['Tag'],{'name': 'S. Jaishankar'}
378,['Tag'],{'name': 'PM Oli'}
379,['Tag'],{'name': 'SAARC'}
380,['Tag'],{'name': 'China'}
381,['Tag'],{'name': 'Beijing'}
382,['Tag'],{'name': 'Nepal PM Prachanda'}
383,['Tag'],{'name': 'Nepali'}
384,['Tag'],{'name': 'Opposition'}
385,['Tag'],{'name': 'Prachanda'}
386,['Tag'],{'name': 'the Nepali Congress party'}
387,['Tag'],{'name': 'Kantipur Conclave'}
388,['Tag'],{'name': 'Kathmandu'}
389,['Tag'],{'name': 'External Affairs'}
390,['Tag'],{'name': 'KP'}
391,['Tag'],{'name': 'Nepal’s'}
392,['Tag'],{'name': 'Pokhara'}
393,['Tag'],{'name': 'Bhairahawa'}
394,['Tag'],{'name': 'Hydropower'}
395,['Tag'],{'name': 'MW'}
396,['Tag'],{'name': 'the Pancheshwar Multipurpose Project'}
397,['Tag'],{'name': 'Pakistan'}
398,['Tag'],{'name': 'india nepal ties'}
399,['Tag'],{'name': 'nepal ties new'}
400,['Tag'],{'name': 'ties nepal'}
401,['Tag'],{'name': 'ties nepal pm'}
402,['Tag'],{'name': 'nepal ties'}
403,['Tag'],{'name': 'chatbot gemini'}
404,['Tag'],{'name': 'india perspective nepal'}
405,['Tag'],{'name': 'nepal ties taken'}
406,['Tag'],{'name': 'issue india nepal'}
407,['Tag'],{'name': 'nepal ties strain'}
408,['Tag'],{'name': 'nepal balance ties'}
409,['Article'],"{'category': 'technology and computing', 'createdAt': '2024-11-15T12:55:03.429Z', 'url': 'https://www.thehindu.com/news/national/drdo-successfully-completes-flight-tests-of-75km-guided-pinaka-rocket-system/article68869058.ece?cx_testId=81&cx_testVariant=cx_1&cx_artPos=0&cx_experienceId=EXPO56ZDYSGX&cx_experienceActionId=showRecommendations7EV8PP8TM51R64#cxrecs_s'}"
410,['Tag'],{'name': 'DRDO'}
411,['Tag'],{'name': 'Samir V. Kamat'}
412,['Tag'],{'name': 'Pinaka'}
413,['Tag'],{'name': 'The Defence Research and Development Organisation'}
414,['Tag'],{'name': 'MBRL'}
415,['Tag'],{'name': 'Provisional Staff Qualitative Requirements'}
416,['Tag'],{'name': 'The Indian Army'}
417,['Tag'],{'name': 'Army'}
418,['Tag'],{'name': 'Grad'}
419,['Tag'],{'name': 'MLRS'}
420,['Tag'],{'name': 'Armament Research and Development Establishment'}
421,['Tag'],{'name': 'Research Centre Imarat'}
422,['Tag'],{'name': 'Defence Research and Development Laboratory'}
423,['Tag'],{'name': 'Energy Materials Research Laboratory'}
424,['Tag'],{'name': 'Proof & Experimental Establishment'}
